,cena_mean,cena_mean,cena_mean,cena_m2_mean,cena_m2_mean,cena_m2_mean
month_num,2,3,4,2,3,4
NAZEV_LAU1,,,,,,
Benešov,3345580.0,2923928.1818181816,3048723.6641221372,47518.29989754337,42269.46903934248,43789.193418074174
Beroun,4446424.03030303,4452207.271794871,4150592.2131147543,54285.19072008447,56044.05699215209,55231.09930137849
Blansko,3342668.25,2886500.7156398105,2932283.4403292183,44748.162439018684,41948.68430478882,42675.46523543886
Brno-město,5831084.377314814,5652487.879263671,5481695.098857427,70109.52055632326,73996.81994719454,74601.72764156318
Brno-venkov,3884723.1478260867,3833217.004705882,3890154.418181818,51601.91131311447,52889.13557454032,53549.30367150197
Bruntál,1308549.9791666667,1361687.6898395722,1442362.5521472392,18363.95855373641,19289.925546594048,19401.395464459485
Břeclav,2968079.709090909,2992050.741035857,2916971.9346938776,38198.41579414852,40509.35425455187,40065.22234481992
Cheb,4013760.8771929825,3556251.523545706,3455042.7671370967,46827.5603930683,46138.17779114792,42361.23903696065
Chomutov,1319189.5448275863,1424539.776056338,1306315.1410419315,19492.601945289418,23596.822471913576,21998.111849520934
Chrudim,2151879.3492063493,2274035.492,2253206.2953736656,28295.55355153434,32045.2130472606,31693.47423671988
Domažlice,1886897.5,1839380.8219178081,1784690.4761904762,27685.470877428044,27695.21901873325,27375.636488130847
Děčín,1688973.6842105263,1615843.5064935065,1548334.4827586208,22725.669156333464,22120.54691126588,21214.81332287653
Frýdek-Místek,2227048.4342105263,2220172.381818182,2263447.9710610933,31666.525130379847,33766.46138138831,34060.26532369361
Havlíčkův Brod,2595456.2580645164,2510172.469230769,2296995.8466666667,34406.17105056757,34989.03988707861,34028.405520991546
Hlavní město Praha,8266278.676964406,7946164.894041818,7732426.94939378,99222.7737688043,105115.51084638733,104508.17528766773
Hodonín,2542404.6666666665,2492518.6885245903,2375234.3684210526,33238.347140202684,34163.92299919365,33531.229312009
Hradec Králové,3399509.425531915,3496499.313304721,3582165.8044871795,45538.311801520205,50372.888094347894,51439.551473989566
Jablonec nad Nisou,2175299.0476190476,2442512.577777778,2322295.709570957,27193.671292074006,35760.518377111126,35678.47250216119
Jeseník,2169585.0,1916664.1975308643,1909682.2222222222,26790.49143713543,28705.982843983107,26285.972035060124
Jihlava,2800226.524390244,2708989.278443114,2734590.6513513513,40002.379722676465,40748.00552924884,40520.643476808094
Jindřichův Hradec,2325000.0,2318782.8571428573,2146503.723404255,31772.32943329431,36509.10156618108,32937.76437119864
Jičín,2645674.6938775512,2821198.246835443,2675942.9426751593,37675.281822531186,38578.34844159265,36523.644799963506
